,Survived,Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
0,1,2,Miss. Jessie Wills Leitch,female,31.0,0,0,33.0
1,1,2,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41.0,0,1,19.5
2,1,2,Master. William Rowe Richards,male,3.0,1,1,18.75
3,1,2,Miss. Kate Florence Phillips,female,19.0,0,0,26.0
4,0,3,Mr. Marin Markoff,male,35.0,0,0,7.8958
5,0,2,Mr. William Campbell,male,21.0,0,0,0.0
6,0,3,Miss. Ida Lefebre,female,3.0,3,1,25.4667
7,0,1,Jonkheer. John George Reuchlin,male,38.0,0,0,0.0
8,0,2,Mr. George Henry Hunt,male,33.0,0,0,12.275
9,0,3,Mr. Roger Tobin,male,20.0,0,0,7.75
10,0,3,Mr. Thomas Leonard Theobald,male,34.0,0,0,8.05
11,1,2,Mrs. John T (Ada Julia Bone) Doling,female,34.0,0,1,23.0
12,1,3,Miss. Agnes McCoy,female,28.0,2,0,23.25
13,0,3,Mrs. Thomas (Annie Louise Rowley) Meek,female,32.0,0,0,8.05
14,0,3,Miss. Saiide Barbara,female,18.0,0,1,14.4542
15,0,3,Mr. Thomas J Kilgannon,male,22.0,0,0,7.7375
16,0,3,Mr. Amin Saad,male,30.0,0,0,7.2292
17,0,3,Miss. Telma Matilda Strom,female,2.0,0,1,10.4625
18,0,1,Mr. Quigg Edmond Baxter,male,24.0,0,1,247.5208
19,0,2,Rev. Robert James Bateman,male,51.0,0,0,12.525
20,0,3,Mrs. Frederick (Augusta Tyler) Goodwin,female,43.0,1,6,46.9
21,1,2,Mrs. Elizabeth (Eliza Needs) Hocking,female,54.0,1,3,23.0
22,0,1,Dr. Arthur Jackson Brewe,male,46.0,0,0,39.6
23,1,3,Mr. Fang Lang,male,26.0,0,0,56.4958
24,0,3,Mr. Ivan Mineff,male,24.0,0,0,7.8958
25,1,3,Miss. Ellen O'Dwyer,female,24.0,0,0,7.8792
26,1,3,Miss. Banoura Ayoub,female,13.0,0,0,7.2292
27,1,1,Miss. Alice Elizabeth Fortune,female,24.0,3,2,263.0
28,0,2,Mr. William Carbines,male,19.0,0,0,13.0
29,0,2,Mr. Rene Jacques Levy,male,36.0,0,0,12.875
30,0,3,Mr. Harry Corn,male,30.0,0,0,8.05
31,0,1,Mr. Timothy J McCarthy,male,54.0,0,0,51.8625
32,1,1,Mrs. John Jacob (Madeleine Talmadge Force) Astor,female,18.0,1,0,227.525
33,0,3,Mr. Gerious Yousseff,male,26.0,0,0,14.4583
34,1,1,Mrs. Albert Adrian (Vera Gillespie) Dick,female,17.0,1,0,57.0
35,1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38.0,1,0,71.2833
36,0,3,Mr. Viktor Richard Rosblom,male,18.0,1,1,20.2125
37,1,3,Mr. Victor Francis Sunderland,male,16.0,0,0,8.05
38,1,1,Mrs. Gertrude Maybelle Thorne,female,38.0,0,0,79.2
